ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359,Total_M,Total_T,Total_MT,Total,Chave_O+D
7,2019-11-17,104,116,microtrip,10,,,,,,10,18,14,24,11,,17,13,25,20,28,27,25,20,15,,,,32,52,84,277,104_116
7,2019-11-17,104,116,private_transport,,,21,27,,,,20,32,,,17,,45,27,20,,26,,77,,16,,,52,26,78,328,104_116
7,2019-11-17,104,117,microtrip,41,,,,,,,13,10,,20,24,13,15,30,13,17,10,25,26,18,,,,23,35,58,275,104_117
7,2019-11-17,104,117,private_transport,,,,,,,,,,,,,,17,,,,,,,,,,,0,0,0,17,104_117
7,2019-11-17,104,118,bus,,,,,,,,,,,,30,,,,,,,,,,,,,0,0,0,30,104_118
7,2019-11-17,104,118,private_transport,,,,,,,,,,,,14,,,,,,14,,,,,,,0,14,14,28,104_118
7,2019-11-17,104,119,bus,,,,,,,,,,,,14,,,,,10,,,,,,,,0,0,0,24,104_119
7,2019-11-17,104,119,microtrip,,,,,11,,,,,12,,,,,,,,10,,,,,,,0,10,10,33,104_119
7,2019-11-17,104,120,microtrip,,,,,,,,,,,,,17,,,13,,,,,,,,,0,0,0,30,104_120
7,2019-11-17,104,122,microtrip,,,,,,,,,,11,,,,,,,,,,,,,,,0,0,0,11,104_122
7,2019-11-17,104,123,private_transport,,,,,,,,,,,,,,,,,,,23,,,,,,0,23,23,23,104_123
7,2019-11-17,104,124,bus,,,,,,,,,,,,,,,,,11,,,,,,,,0,0,0,11,104_124
7,2019-11-17,104,124,private_transport,,,,,,,,,,,,,,,,,46,,,,,,,,0,0,0,46,104_124
